,0
645,2.7000000402331352
646,2.600000038743019
647,2.7000000402331352
648,2.600000038743019
649,2.7000000402331352
650,2.600000038743019
651,2.7000000402331352
652,2.600000038743019
653,2.7000000402331352
654,2.600000038743019
655,2.7000000402331352
656,2.600000038743019
657,0.19000000320374966
658,2.600000038743019
659,2.7000000402331352
660,2.600000038743019
661,2.7000000402331352
662,2.600000038743019
663,2.7000000402331352
664,2.600000038743019
665,2.7000000402331352
666,2.600000038743019
667,2.7000000402331352
668,2.600000038743019
669,2.7000000402331352
670,2.600000038743019
671,0.10000000149011612
672,2.600000038743019
673,0.30000000447034836
674,2.600000038743019
675,2.7000000402331352
676,2.600000038743019
677,0.20000000298023224
678,2.600000038743019
679,2.7000000402331352
680,2.600000038743019
681,2.7000000402331352
682,2.600000038743019
683,2.7000000402331352
684,0.6000000089406967
685,2.600000038743019
686,2.600000038743019
687,0.20000000298023224
688,0.5000000074505806
689,0.20000000298023224
690,1.2000000178813934
691,0.5000000074505806
692,0.7900000121444464
693,2.600000038743019
694,0.20000000298023224
695,0.800000011920929
696,0.3900000061839819
697,2.600000038743019
698,2.600000038743019
699,2.7000000402331352
700,2.600000038743019
701,2.7000000402331352
702,0.20000000298023224
703,2.600000038743019
704,2.600000038743019
705,2.7000000402331352
706,0.0
707,2.600000038743019
708,2.7000000402331352
709,2.600000038743019
710,2.7000000402331352
711,2.600000038743019
712,0.30000000447034836
713,2.600000038743019
714,2.600000038743019
715,2.600000038743019
716,2.600000038743019
717,2.7000000402331352
718,0.20000000298023224
719,2.600000038743019
720,0.10000000149011612
721,2.600000038743019
722,2.600000038743019
723,2.600000038743019
724,0.10000000149011612
725,2.600000038743019
726,0.10000000149011612
727,2.600000038743019
728,2.600000038743019
729,2.7000000402331352
730,2.600000038743019
731,0.20000000298023224
732,2.600000038743019
733,0.10000000149011612
734,2.600000038743019
735,2.7000000402331352
736,2.600000038743019
737,2.7000000402331352
738,2.600000038743019
739,2.600000038743019
740,2.7000000402331352
741,2.600000038743019
742,2.7000000402331352
743,2.600000038743019
744,0.20000000298023224
745,2.600000038743019
746,2.600000038743019
747,2.7000000402331352
748,2.600000038743019
749,2.7000000402331352
750,2.600000038743019
751,0.10000000149011612
752,2.600000038743019
753,2.7000000402331352
754,2.600000038743019
755,2.7000000402331352
756,2.600000038743019
757,1.3000000193715096
758,2.600000038743019
759,2.600000038743019
760,2.600000038743019
761,2.7000000402331352
762,2.600000038743019
763,2.600000038743019
764,2.600000038743019
765,0.10000000149011612
766,2.600000038743019
767,2.600000038743019
768,2.7000000402331352
769,2.600000038743019
770,2.7000000402331352
771,0.30000000447034836
772,2.600000038743019
773,2.500000037252903
774,0.20000000298023224
775,2.600000038743019
776,2.600000038743019
